j,10_palabras_mas_comunes
cat_02222ba,"led, kit, super, lampada, farol, par, 6000k, pingo, branca, ultra"
cat_02298e9,"broches, guardapolvo, talle, azul, arciel, colegio, escolar, recto, alforzado, aro"
cat_02397a3,"advance, blanqueadoras, luxe, oral, sselma, tiras, white, x28"
cat_023bbca,"auto, lateral, love, negro, niño, parasol, piezas, tienda"
cat_0245a19,"contacto, lentes, basic, optica, colors, habilitada, tonos, paesani, óptica, anuales"
cat_024a142,"cortadora, cesped, honda, motor, dibra, nafta, naftera, 3en1, césped, envio"
cat_024dbbc,"realidade, virtual, óculos, controle, box, oculos, bluetooth, cardboard, entrega, pronta"
cat_024f242,"diarios, protectores, protector, diario, unidades, algodon, always, combo, ecológico, goteos"
cat_0255e8b,"cabo, acelerador, soretto, embreagem, kit, scherer, honda, kawasaki, original, adesivos"
cat_0258bbd,"4x2, auxiliar, brazo, hilux, takama, toyota"
cat_025b42d,"desodorante, clinical, men, combo, rexona, desodorantes, classic, roll, antitranspirante, crema"
cat_02677dd,"bomba, combustível, combustivel, bar, externa, mercedes, flex, gasolina, original, turbo"
cat_02711c1,"cpu, core, 8gb, gamer, 4gb, ssd, dell, intel, ram, amd"
cat_0273891,"led, soporte, lcd, pulgadas, brazo, monitor, plasma, televisores, 40x60, 50k"
cat_0276c46,"receptor, canais, radio, dx8, frsky, sbus, 16ch, 8uhp, aeromodelo, até"
cat_0277287,"bexiga, exercitador, assoalho, brasil, nadegas, pelvico, pilates, anel, arco, fitness"
cat_027732b,"ticholos, campo, directo, fabrica, ladrillos"
cat_0278892,"canon, parasol, 58mm, hood, lens, lente, stm, t5i, t6i, tulipa"
cat_027b362,"alquiler, lumens, pantalla, proyectores"
cat_028507d,"1m3, 6mm, argon, cargado, golpe, letras, mig, nuevo, números, rotular"
cat_029161c,"bermuda, muay, short, thai, venum, cal, mma, academia, giant, jitsu"
cat_02953e3,"200m, envio, esmeralda, grama, gratis, sementes"
cat_029d75f,"espada, katana, drag, samurai, mesa, preta, suporte, treino, bainha, gold"
cat_029fd63,"bolsa, boxeo, box, soporte, cadena, kit, guantin, combo, soga, vendas"
cat_02a5da8,"mp3, reproductor, 16gb, 8gb, auric, deportivo, envio, gratis, memoria, natación"
cat_02abc5b,"chave, extrator, pedivela, saca, shimano, sram, bike, bikes, catraca, livre"
cat_02b80da,"herramientas, caja, klatter, carro, pulgadas, desmontable, porta, plastica, metalica, 470x290x630"
cat_02ce098,"pull, 1oz, 25t, 5cm, 5ml, bra, cianocrilato, debonder, descolante, futaba"
cat_02ceaf1,"bomba, presurizadora, baños, agua, presion, rowa, elevadora, 220v, 30l, min"
cat_02d7b27,"manga, akira, citrus, colección, completa, dunk, ivrea, kanzenban, kodansha, ovni"
cat_02d7ca3,"capa, polaris, quadriciclo, can, cforce, outlander"
cat_02dbdbb,"envio, faros, focos, gratis, kit, led, luces, trailer"
cat_02e2325,"ess, ncia, juice, kit, vape, vapers, premium, 30ml, 0mg, sabores"
cat_02e6102,"casco, moto, porta, portaequipaje, pulpo, elastica, elastico, elástica, fas, ganchos"
cat_02e8bb3,"babymovil, carrito, juguete, supermercado, verduleria, zippy"
cat_02ed9ea,"construye, ecológico, guía, kit, ladrillos, maquina, planos, lego, prensa"
cat_02f305b,"band, cable, carga, cargador, usb, xiaomi"
cat_02f3ae2,"monobloco, sanitário, vaso, 4pcs, 8018b, acoplada, adamas, adm, bacia, branca"
cat_0307368,"adelgazante, cinturón, faja, hombre, moldeadora, reductora"
cat_030a15a,"history, litro, vodka"
cat_030abc6,"guitarra, guitar, link, usb, alta, calidad, conector, d250x, efeito, elétrica"
cat_030b4c1,"cabo, ps3, ps4, playstation, energia, flat, for, hdmi, inmetro, sony"
cat_031b233,"motor, avi, buggy, fuselagem, impresion, kit, kyosho, maquete, micro, mini"
cat_031e229,"com, gateway, nfe, pap2t, portas, ata, celfix, celular, chipeira, cisco"
cat_033314b,"14mm, 16v, chave, clio, kangoo, logan, renaut, sandero, vela"
cat_0345d7d,"coleccion, cow, figura, granja, hereford, safari, vaca, vaquita"
cat_034f030,"kit, limpeza, mangueira, piscina, aspirador, cabo, com, piscinas, mts, alvenaria"
cat_0350c50,"reposteria, silicona, acrilico, casa, cocina, gastronomia, pincel, deco, pinceles, porcelana"
cat_03698a2,"multilaser, notebook, numérico, teclado, usb"
cat_036d2f1,"barril, bom, com, estado, heineken, latas, latinhas, und, vazio, 355ml"
cat_037329a,"30mm, 32mm, astron, especialista, lente, marca, micos, ocular, plossl, produtos"
cat_03764bb,"apito, capivara, ncia, pio, profissional, agulha, alumínio, bocal, bola, bom"
cat_0381a38,"4kg, brinde, briquete, carv, ecológico, pacote, cada, kit, pacotes"
cat_038fa74,"check, cobra, coil, com, ninja, paintball, remote, slide"
cat_03975f1,"arcade, juegos, bartop, geo, juego, multi, neo, 90x38x10, atari, comandos"
cat_039a550,"sexy, baby, doll, lencería, puntilla, less, abierto, babydoll, body, catsuit"
cat_039c51f,"roda, rodinha, kit, silicone, cadeira, rodízio, anti, risco, 11mm, rodinhas"
cat_03ad8c6,"alarma, inalambrica, sensor, aberturas, aplicación, arduino, avisador, casa, celu, chismoso"
cat_03b5259,"invisible, japonesa, red"
cat_03c014f,"macio, masculino, masturbador, nis, vibrador, com, kit, sexy, shop, 16cm"
cat_03c0f4d,"220v, gelo, máquina, mg1502pr, prata, suggar, até, dia, fazer, preta"
cat_03c32c5,"algod, pacotes, kit, quadrado, beb, bellacotton, cotton, cremer, discos, gramas"
cat_03ca421,"corcho, 60x90, chinches, cuotas, madera, marco, pizarra, 8mm, cartón, decoración"
cat_03d01d7,"motor, popa, power, rele, trim, yamaha"
cat_03d4a5e,"bot, espelhos, fixador, franc, pecas"
cat_03d4e20,"sacos, silagem, 60x110, branco, micras, 100un, 51x100, abra, adeiras, micra"
cat_03d7747,"colch, inflável, casal, bomba, solteiro, manual, travesseiros, camping, colchao, com"
cat_03e3b8d,"aparelho, bucal, caixinha, estojo, móvel, protetor"
cat_03e5fc9,"lysoform, desinfetante, 2un, bactérias, bruto, doen, litros, mata, original, 1000ml"
cat_03eb9af,"hilo, algodon, algodón, bordar, color, madejas, bordado, grueso, hilos, kit"
cat_03f2e8d,"organizador, 29x48, 40lts, 45x33x98, 5c34, 5cm, box, caja, canasto, canastos"
cat_03f4a74,"cinturon, cuero, hombre, hebilla, negro, cinto, circular, cuotas, grandes, mujer"
cat_03f5c5e,"led, luminária, box, light, letras, números, cinema, ícones, luminoso, letreiro"
cat_040eeda,"hidrografía, laminas, printing, transfer, water"
cat_04101f4,"epson, botellas, cartucho, colores, compatible, original, t664, tinta, todos"
cat_042202d,"dvd, smartbuy"
cat_043cd78,"alfombra, pelo, largo, moderna, nordica, sintetica, living, natural, 1x1, 2x2"
cat_0444a78,"balan, branco, cart, cinza, estudio, fotometria"
cat_044893f,"crazy, fitness, oscilante, plataforma, profesional, vibratoria"
cat_04522b5,"mount, luneta, 11mm, suporte, trilho, airsoft, 20mm, espingarda, alto, carabina"
cat_04648fd,"500ml, anti, cachorro, clorexidina, queda, seborreia, shampoo"
cat_0466e90,"hamaca, paraguaya, bolso, camping, hamacas, jardin, oferta, paraguayas, plazas, premium"
cat_0467d1a,"caucho, dureza, siliconas"
cat_046c97c,"airbag, cinta, fita, hard, buzina, hilux, disk, elantra, i30, sonata"
cat_047153f,"filtro, esportivo, lavavel, twin, air, oleo, tornado, honda, original, crf"
cat_0476096,"kit, arduino, raspberry, case, fonte, pi3, uno, iniciante, com, model"
cat_048130a,"mouse, logitech, gamer, preto, usb, fio, sem, wireless, negro, dpi"
cat_048e8eb,"tela, lcd, monitor, veicular, dvd, automotivo, controle, mera, pol, encosto"
cat_0498c1d,"crossmaster, patrones, pistola, riego, rociador"
cat_04a2647,"12cm, alumino, cierra, empanadas, fundimax, triple"
cat_04a6087,"betta, colores, espectaculares, macho, nacionales, peces, acuario, caracoles, combo, oferta"
cat_04b6dac,"barkley, correia, kit, limpeza, manuten, sax, soft, tenor"
cat_04bfef1,"musleras, tácticas, universales"
cat_04c749d,"doppler, fetal, monitor, sonar, gel, angel, bateria, batimento, cardíaco, natal"
cat_04cce48,"dardos, nerf, jogo, hasbro, lan, ador, alvo, disruptor, arma, colete"
cat_04d1872,"ancora, calibrada, corrente, guinho, inox, nautico"
cat_04da944,"smart, tacx, vortex"
cat_04ea1dd,"garrafa, térmica, thermos, café, inox, kit, original, suco, água, 1100ml"
cat_04f6a18,"berrante, profissional, barato, chifre, chifres, emendas, ferradura, luxo, menor, pre"
cat_04f8405,"gol, ventilete"
cat_050ccea,"armar, estantería, hierro, madera, material, urgente"
cat_05134a4,"ahuyentador, antiladridos, automatico, perros, sonico, ultra"
cat_05140b4,"downy, ropa, adorable, combo, suavizantes, suavizante, concentrado, x500ml, flores, litros"
cat_051539c,"coser, maquina, máquina, portatil, mini, blanco, puntadas, 220v, electrica, janome"
cat_051e6b1,"junta, cabe, ote, 16v, juntas, jogo, turbo, kit, toyota, citroen"
cat_0520c94,"airlock, conector, infinity, rosca, rotomolding"
cat_0526fc0,"flash, softbox, difusor, speedlight, kit, universal, canon, luz, mini, rebatedor"
cat_052841e,"batente, kit, amortecedor, suspens, traseiro, dianteiro, coxim, amortecedores, par, original"
cat_053699f,"grade, milha, moldura, farol, parachoque, com, cromado, par, emblema, friso"
cat_0536e4e,"engranaje, fusor, gear, p1005, p1102, ru5, swing"
cat_05393e5,"kit, limpeza, len, lens, umedecidos, wipes, zeiss, com, dslr, lcd"
cat_053bae5,"bomba, sumergible, agua, pozo, 5hp, desagote, motorarg, sucia, 200l, 30m"
cat_054129e,"chicos, grillos"
cat_054d7e1,"kit, massinha, doh, play, potes, slime, fazer, modelar, hasbro, massa"
cat_0556e7e,"muñeca, dema, mano, inmovilizador, muñequera, neoprene, tendinitis, ferula, dedo, larga"
cat_055bd28,"led, refletor, holofote, bivolt, branco, frio, prova, kit, água, 100w"
cat_05682d4,"borracha, impressora, pick, roller"
cat_0569fb5,"cafe, gramos, melita, sabores"
cat_057a951,"cocador, cocar, costas, maozinha, regulavel, telescopio"
cat_05819ae,"deck, mkiii, tape, tascam, conjunto, cp750d, novo, polyvox, top, tuner"
cat_0586ddf,"disco, deore, rotor, shimano, bicicleta, center, freno, lock, rt56, rt62m"
cat_05980c5,"acero, apto, goulash, hungaros, spaetzle, tzel, ñoquera, ñoquis"
cat_05af65e,"algas, artesanal, cerveja, checker, difusora, drop, gota, inox, micra, pedra"
cat_05b5c44,"air, aro, basket, basquet, drb, jirafa, jordan, junior, regulable, tablero"
cat_05bebe3,"cubre, cuero, funda, genuino, l200, ltcueros, vacuno, volante"
cat_05c02a4,"notebook, dell, samsung, adaptador, carca, touch, 12v, 33a, carregado, chromebook"
cat_05d035b,"organizador, botinero, zapatero, pares, calzado, zapatos, angosto, armado, b24, calidad"
cat_05d3153,"abdominales, electrodos, estimulador, fitnes, gym, muscular, smart"
cat_05d3af1,"válvula, abastecimento, cilindro, italiano, tomasetto"
cat_05df806,"sanduicheira, grill, inox, 110v, press, mondial, antiaderente, brit, nia, 220v"
cat_05f0709,"controle, alarme, original, remoto, ford, bot, automotivo, flex, kit, chave"
cat_05f3efc,"plotter, 72cm, archivos, cameo, contorno, digital, dxf, frases, laser, recorte"
cat_05f680c,"sax, boquilha, alto, tenor, adeira, bueno, ref, video, bra, até"
cat_061731e,"depilador, laser, luz, pulsada, touch, aparelho, bivolt, depila, disparos, facial"
cat_061b30b,"centro, planchado, tabla, planchar, todohogar, cp101bl, estacion, estant, plancha, ra2200a"
cat_06223cc,"digital, termostato, chocadeira, cervejeira, stc, controlador, 220v, temperatura, advanced, full"
cat_06267c6,"amarres, amor, ayuda, espiritual, limpiezas, tarot, vidente"
cat_062b1ac,"calza, equipo, guantes, medias, máscara, remera, termico"
cat_0637f40,"cinta, 48mm, adhesiva, embalaje, transparente, caja, autoadhesiva, embalar, 100mt, 25mts"
cat_063b040,"collar, perro, adicional, arnes, ayuda, cadera, cerco, combo, correa, displacia"
cat_063c456,"serra, copo, tico, kit, laminas, madeira, jogo, 127mm, 64mm, diamantada"
cat_0645a78,"monitor, 5pol, 60w, caixa, csr, edifier, filter, jbl, kit, par"
cat_064a0fa,"chave, igni, kit, titan, magnetron, honda, twister, xtz, completo, contato"
cat_0655a39,"cloro, clorotec, nataclor, pastillas, triple, multiacción, rinde, 10lts, 1kilo, 200gr"
cat_0663b8c,"elétrico, forno, litros, 220v, preto, embutir, 127v, electrolux, fit, inoxidável"
cat_0669030,"sal, lampara, himalaya, aromatic, circular, esencia, fanal, fogata, 16cm, grande"
cat_067b24b,"usb, agrega, frontal, panel, acc, behringer, condenser, grabacion, kit, microfono"
cat_067ded9,"guid, titan, guidao, honda, hornet, fan, cb300, crf, esportivo, kit"
cat_067f2a2,"20g, bordalesa, bordasul, cada, calda, com, kit, sach"
cat_0684d77,"detergente, dispenser, sab, dosador, líquido, pia, inox, porta, esponja, 500ml"
cat_0685f0b,"copiador, gamma, madera, maquimundo, mts, torno"
cat_0697d0d,"impressora, resina, 110v, creality, ender, 220v, 250ml, anycubic, bivolt, com"
cat_069faf5,"cortadora, fiambres, familiar, fiambre, moretti, 190mm, cf200, wemir, balanza, cuotas"
cat_06a121a,"extensible, oferta, pcm, proyector, soporte, techo"
cat_06a47a7,"baño, armario, multiuso, amarelo, mueble, alacena, blanco, botiquin, capital, cargo"
cat_06a6ab6,"bel, bolinhas, completo, kit, ping, pong, raquetes, rede"
cat_06a8585,"bateria, central, control, destornillador, hueco, joystick, orificio, pilas, t10, tapa"
cat_06a8737,"abafador, esportivo, barenwald, inox, cooper, dupla, frankfurt, luzian, mini, ponteira"
cat_06aef35,"boy, capa, colete, fox, gladiador, modular"
cat_06b8e3a,"cdi, honda, modulo, original, ajuste, central, comet, davidson, dyna, fp3"
cat_06bfe9b,"español, digital, expansiones, sims, sus, todas, full, car, dlcs, garden"
cat_06c1f71,"satlink, localizador, atualizado, satélite, dvb, satelite, finder, original, serie, acm"
cat_06d2f97,"garfo, c10, c20, cardan, d10, d20, luva, traseiro, diante, embreagem"
cat_06df2fb,"compostera, lombrices, balcón, litros, personas, terraza, manual, 80l, buena, californianas"
cat_06e5e82,"curetas, estojo, kit, odontológico, perio"
cat_06f7df0,"lluvia, traje, equipo, botas, delta, mascara, moto, motos, fas, guantes"
cat_0705e9c,"branco, com, papel, toalha, 200m, bobina, caixa, fardo, folhas, interfolha"
cat_0715652,"modista, mundial, tijera"
cat_0715d54,"capa, conforto, carrinho, bebe, kit, cinto, protetor, beb, almofada, marinho"
cat_0722d79,"len, kit, com, baby, toalha, umedecidos, toalhinhas, umedecido, personalidade, banho"
cat_0741124,"barras, codigo, etiquetas, impresora, usb, zebra"
cat_074478f,"bancada, cabine, jateamento, strom, volt"
cat_0748b8d,"ncia, bússola, apito, sobreviv, survivor, alta, metal, nfe, original, precis"
cat_0752e94,"auto, camping, compresor, inflador, mini"
cat_0757eec,"vara, inteiri, pesca, carretilha, motor, fish, 100cm, 15hp, 50hs, 50lb"
cat_0759654,"loratadina, teva"
cat_0765061,"templado, vidrio, ipad, samsung, tab, film, envio, paperlike, protector, pulgadas"
cat_0770839,"torniquete, cat, gen, genuíno, porta, rígido"
cat_078002b,"controle, dvd, remoto, samsung, blu, ray, ah59, 02643a, 4ohms, akb73735801"
cat_0781274,"ventosas, chinas, masajes, celulitis, copas, kit, set, completo, cupping, manguera"
cat_078989e,"doble, globos, inflador, boquilla, cumpleaños, cuota, electronico, electronicos, eventos, gadnic"
cat_07923d5,"dupla, entrada, lavadora, mabe, válvula, água"
cat_0799564,"origen, apto, celiacos, español, paellero, valenciana, x12gr, almidón, clavo, curcuma"
cat_079b3c5,"colcha, cobre, leito, casal, kit, queen, cubrecama, king, com, dupla"
cat_07a380a,"pollo, cerdo, suprema, milanesas, pernil, 15kg, 1kg, 20kg, 4kg, bulto"
cat_07aadb4,"50mm, cable, cobre, puro, technoyse, verde"
cat_07b181a,"alisado, keratina, crema, profesional, capilar, litro, shock, mascara, formol, 500ml"
cat_07b4a03,"binóculo, profissional, alcance, 20x50, sakura, binóculos, longo, binoculo, com, defini"
cat_07b5ae2,"cactus, combo, macetas, n12, pedritas, suculenta, super, sustrato"
cat_07b5f94,"jogging, pack, bebe, bolsillos, doble, friza, niños, puño, eligir, pantalones"
cat_07ca79b,"painel, até, polegadas, rack, com, cores, sala, móveis, suspenso, preto"
cat_07ceef0,"rack, teto, travessa, bagageiro, portas, preto, prata, até, hatch, sedan"
cat_07d9aa6,"tabletas, aparato, mosquitos, raid, acci, cuervo, doble, ahuyenta, cable, contra"
cat_07dfb19,"acuarelas, pincel, colores, estuche, barrio, giotto, norte, block, caja, past"
cat_07e9461,"papel, fanacopy, hojas, paquetes, resma, 20hojas, 75gr, autoadhesivo, binario, caja"
cat_07f43ec,"pantalon, trabajo, azul, bolsillo, clasico, directo, fabrica, forro, impermeable, matelasse"
cat_07ff047,"estabilizador, protetor, ups, 1000va, 110v, 220v, mono, bivolt, 600w, eletronico"
cat_0807c03,"cajón, crossfit, salto"
cat_08113a2,"barbijo, n95, mascarilla, respirador, unidades, descartable, barbijos, particulas, libus, fravida"
cat_0820fab,"capa, capinha, anti, case, galaxy, iphone, impacto, plus, vidro, pelicula"
cat_082435b,"cuerpos, funda, elastizada, mónaco, sillon, sillón, caballito, local, madras, tela"
cat_082a319,"15x100, 15x110, adaptador, boost, conversion, delantera, maza"
cat_082e5ce,"geladeira, relé, bivolt, bosch, continental, freezer, mabe, partida, ptc, rele"
cat_08370aa,"cortacabello, hc3505, pelo, philips, posiciones, retirar"
cat_083791f,"dji, drone, mavic, spark, pro, air, controle, mera, bateria, original"
cat_083bd17,"3ds, hori, new, nfe, nintendo, películas"
cat_0841a98,"maquina, tela, casa, circular, cortadora, cortar, cuchilla, dapet, mano, minicutter"
cat_08449f5,"señuelos, pesca, 2kg, ssj, tararira, caja, dorado, kit, accesorios, albatros"
cat_0851a68,"soplete, liga, marca, picos, argentina, arrestallama, chapista, garrafa, gas, gramos"
cat_08520c7,"caderno, folhas, com, bloco, fls, inteligente, blocos, capa, grande, kit"
cat_0867e9f,"24v, acera, altus, microshift, set, shifter, shimano, ts39"
cat_08696a6,"abc, design, kiddie, plataforma, ride"
cat_0870b48,"bolsa, delicadas, lavar, prendas, rayen, 32x47, 47x75, bactericida, bolsas, cuaternario"
cat_087fc1e,"carrepairsystem, carroceria, pincel, sellador"
cat_088773c,"automatica, led, lápiz, mágica, pizarra, pulgadas"
cat_088a71c,"13574aa94, capa, cod, correia, defletor, imprenza, motor, omega, subaro, tampa"
cat_089119c,"caja, mesh, ohms, resistencia, unidades, vaporesso, climatizador, encendido, peisa, unidad"
cat_0897c2f,"bebé, boton, buzo, cuello, frizado, nena, unidades"
cat_08ae040,"band, original, ps4, rock, teclado"
cat_08d3a73,"loja, 185x90x30, armário, canaletado, direto, envio, estante, estantes, expositor, fábrica"
cat_08dbee4,"sensor, acelerador, clio, pedal, 320i, ajustador, bmw, comando, eixo, elantra"
cat_08edfc3,"cadence, cake, cupcake, maquina, sweet"
cat_08f4ee2,"hombre, bermuda, short, talles, adidas, algodón, alto, biker, billabong, bolsillo"
cat_0908877,"camiseta, fitness, masculino, medidas, redutora, térmica"
cat_09190c5,"kit, amortiguadores, amortiguador, delantero, delanteros, ford, traseros, corven, gol, chevrolet"
cat_09245b0,"saco, novo, ráfia, unidades, 60cm, 90cm, erro, impress, kit, 25kg"
cat_0925c3f,"bicicleta, extractor, body, piñon, super, eje, mtb, pd40, pedales, shimano"
cat_0928f32,"boveda, kit"
cat_092ca0d,"isqueiro, usb, zippo, original, plasma, eletrico, recarregável, ada, cal, com"
cat_09364b5,"caddy, carry, disco, hdd, notebook, alpha, duro, new, sata, segundo"
cat_0936be8,"adulto, alúminio, andador, dobrável, frete, grátis, idosos, dist, garra, mebuki"
cat_093875a,"aerocamara, bivalvular, espaciadora, niños, pa06, silfab"
cat_09393b6,"megafone, com, csr, gravador, memória, música, sirene, usb, 30w, 35w"
cat_094e4b3,"digital, antena, aquário, dtv, externa, completa, instalar, acessórios, banda, cromus"
cat_095230e,"cazoleta, kit, delantera, cazoletas, ford, vth, audi, bora, c70, corolla"
cat_095d1ce,"corrente, shimano, sram, 12v, speed, 11v, kmc, xx1, eagle, mtb"
cat_09659df,"estofados, lavagem, litros, produto, seco, sofá"
cat_09699f4,"aerador, bar, bohemia, cristal, decanter, doméstica, forum, incolor, linha, utilidades"
cat_0971ec1,"adesivo, frete, kit, chaveiro, emblema, grátis, resinado, fgc, par, ford"
cat_09737fd,"cirúrgico, pijama, conjunto, unissex, hospitalar, azul, bordado, com, kit, masculino"
cat_0975cae,"colch, capa, impermeável, casal, solteiro, protetor, hospitalar, queen, impermeavel, box"
cat_099c0ce,"ping, pong, paletas, pelotas, red, set, portátil, retráctil, arg, estrellas"
cat_09a0989,"banheiro, crian, extensor, torneira"
cat_09a1c57,"bagageiro, universal, teto, dobrável, impermeável, litros, maleiro, gradeado, hatch, linha"
cat_09aa49c,"avent, bico, classic, mamadeira, num, philips, silicone"
cat_09b74a0,"bioetanol, decorativa, lampara, mesa, vela"
cat_09b78ef,"alarme, automotivo, universal, carro, cyber, px360bt, pósitron, positron, kit, bluetooth"
cat_09bf3d8,"limpador, magnético, aquários, raspador, até, haste, janelas, vidro, 105d, 10mm"
cat_09c137b,"ps4, boton, completo, destornillador, encendido, joystick, kit, power, reparacion, slim"
cat_09cb3d9,"compost, orgánico, tierra, 30lts, bolsas, champignon, fino, grueso, mínimo, natural"
cat_09ce26d,"camiones, eurotech, eurotrakker, paragolpe, repuestos"
cat_09d1cd6,"kit, slime, brinquedo, jogo, com, fazer, mini, infantil, educativo, original"
cat_09d6097,"kit, anilhas, barras, muscula, barra, fitness, presilha, completo, 20kg, 40kg"
